RA[deg]	DEC[deg]	z_low	layer
172.4846	41.8108	0.035	7
143.4746	27.0929	0.035	7
167.5765	18.2920	0.035	7
216.2049	41.9502	0.035	7
152.5967	8.6875	0.035	7
192.2379	29.5143	0.035	7
201.4250	39.2083	0.035	7
126.6308	51.8703	0.035	7
179.5569	17.1472	0.035	7
232.4332	13.8926	0.035	7
189.8744	15.6537	0.035	7
160.1227	51.4847	0.035	7
203.0194	19.2919	0.035	7
178.9492	51.4609	0.035	7
129.8611	12.4817	0.035	7
145.0175	45.0704	0.035	7
226.0735	30.1511	0.035	7
209.1155	52.0076	0.035	7
129.0877	34.3589	0.035	7
123.4540	52.5225	0.04	8
135.3969	33.4084	0.04	8
191.6050	6.8686	0.04	8
218.7119	38.3982	0.04	8
181.5983	27.6018	0.04	8
170.2876	8.8751	0.04	8
154.0141	2.1865	0.04	8
124.0348	22.8426	0.04	8
200.7465	2.8685	0.04	8
122.2804	12.1107	0.04	8
149.1360	57.2592	0.04	8
151.0519	7.0019	0.04	8
176.6643	42.1343	0.04	8
123.5311	28.1626	0.04	8
138.4877	28.8906	0.04	8
135.0568	53.6482	0.04	8
156.0609	53.7113	0.04	8
130.3448	4.3934	0.04	8
125.6225	41.5194	0.04	8
237.3073	12.9858	0.04	8
225.2993	4.7376	0.04	8
160.8222	14.7228	0.04	8
175.4963	14.8291	0.04	8
128.7729	45.8383	0.04	8
175.3379	5.9632	0.04	8
133.8262	48.7823	0.04	8
206.7469	7.7802	0.04	8
213.4923	32.8759	0.04	8
194.0120	32.0505	0.04	8
165.6083	52.2032	0.04	8
184.5064	6.1270	0.04	8
165.7129	19.3694	0.04	8
140.5239	38.0124	0.04	8
180.4515	33.6753	0.04	8
194.9546	55.5203	0.04	8
229.8162	13.7044	0.04	8
174.1235	25.1793	0.04	8
217.5023	47.1024	0.04	8
142.2795	4.7228	0.04	8
160.2293	7.8315	0.04	8
128.9131	31.9354	0.04	8
205.4683	38.8532	0.04	8
186.6603	41.9498	0.04	8
161.4109	32.4011	0.04	8
217.1574	8.6845	0.04	8
150.8242	28.8466	0.04	8
178.7663	52.8430	0.04	8
165.4678	42.0275	0.04	8
224.1139	31.3942	0.04	8
211.9879	21.3206	0.04	8
148.2460	47.3582	0.04	8
202.2088	48.7168	0.04	8
231.6775	48.9449	0.04	8
138.5588	16.8389	0.04	8
193.8391	18.8521	0.04	8
180.0000	20.4865	0.045	9
207.3955	15.1652	0.045	9
193.6829	29.6631	0.045	9
185.3296	1.9680	0.045	9
204.4770	9.6166	0.045	9
236.7897	4.9678	0.045	9
227.8659	26.1465	0.045	9
225.3508	12.3562	0.045	9
165.0568	9.3585	0.045	9
235.5728	9.3223	0.045	9
188.8405	48.2953	0.045	9
227.7651	3.9880	0.045	9
175.5076	22.4821	0.045	9
193.3947	5.4642	0.045	9
123.2591	11.6556	0.045	9
174.2822	26.9547	0.045	9
195.6807	46.8727	0.045	9
141.9073	7.3849	0.045	9
150.8875	27.2218	0.045	9
140.6559	21.7760	0.045	9
236.4038	27.9473	0.045	9
147.1165	20.9631	0.045	9
230.8738	11.9869	0.045	9
151.9068	34.7510	0.045	9
151.5219	10.3838	0.045	9
140.2292	14.0680	0.045	9
148.5058	4.5170	0.045	9
196.9058	34.4168	0.045	9
223.2704	37.3500	0.045	9
163.6898	3.8550	0.045	9
213.2267	54.1164	0.045	9
131.9070	12.8307	0.045	9
227.9982	52.8512	0.045	9
220.7532	22.4204	0.045	9
159.7764	13.6175	0.045	9
167.1836	20.1294	0.045	9
228.8758	31.8671	0.045	9
131.2761	41.2461	0.045	9
154.2079	19.6205	0.045	9
204.9990	4.0671	0.045	9
134.1971	4.4614	0.045	9
148.2923	56.4723	0.045	9
161.4048	38.6632	0.045	9
186.0166	25.2480	0.045	9
161.6841	28.7643	0.045	9
231.5999	20.0421	0.045	9
200.2539	15.5054	0.045	9
143.1020	33.0094	0.045	9
179.5255	48.6102	0.045	9
184.0800	10.4671	0.045	9
189.8333	38.5807	0.045	9
151.5155	45.6438	0.045	9
194.4747	21.1694	0.045	9
234.1070	43.8568	0.045	9
173.5668	9.7320	0.045	9
165.1303	49.8688	0.045	9
174.9953	35.7752	0.045	9
137.8441	48.8337	0.045	9
216.8595	9.2809	0.045	9
212.2981	25.7861	0.045	9
128.8722	22.9475	0.045	9
212.2416	42.5722	0.045	9
168.0594	16.4693	0.05	10
209.8683	17.4038	0.05	10
164.7567	2.7504	0.05	10
127.9237	7.2465	0.05	10
176.0655	2.9987	0.05	10
207.7300	55.5163	0.05	10
186.0446	12.6645	0.05	10
222.7486	14.3142	0.05	10
237.2458	28.4228	0.05	10
172.9901	6.7657	0.05	10
236.3298	3.4006	0.05	10
123.7811	5.6137	0.05	10
234.9158	7.8865	0.05	10
168.7430	30.7754	0.05	10
229.9136	21.4732	0.05	10
122.9070	49.8004	0.05	10
195.9724	4.5312	0.05	10
163.8922	26.3338	0.05	10
131.7324	6.8946	0.05	10
210.3516	21.6902	0.05	10
237.2272	21.7807	0.05	10
194.2361	41.9628	0.05	10
181.8399	28.1714	0.05	10
222.8378	20.3668	0.05	10
231.7909	37.4724	0.05	10
210.8406	28.2221	0.05	10
145.9464	30.6491	0.05	10
192.9203	56.1597	0.05	10
217.7943	24.0125	0.05	10
143.3234	13.1340	0.05	10
144.6597	20.7321	0.05	10
137.3615	7.3780	0.05	10
181.8086	19.6132	0.05	10
203.0523	33.5015	0.05	10
204.6652	3.6937	0.05	10
169.2341	22.6618	0.05	10
157.4675	5.7015	0.05	10
174.0032	15.4289	0.05	10
192.9313	12.8884	0.05	10
147.1918	6.3514	0.05	10
146.7124	55.7624	0.05	10
223.0879	4.7900	0.05	10
135.2698	37.6263	0.05	10
229.3965	28.9674	0.05	10
124.9241	41.8964	0.05	10
230.0388	13.1374	0.05	10
173.2339	43.8269	0.05	10
202.3852	16.1926	0.05	10
126.0391	14.2072	0.05	10
154.9810	32.0258	0.05	10
165.0435	10.8222	0.05	10
232.5726	47.0683	0.05	10
176.1527	34.3533	0.05	10
189.2784	34.8378	0.05	10
202.0248	50.0097	0.05	10
183.7438	7.0016	0.05	10
162.3877	38.5164	0.05	10
213.0524	10.4031	0.05	10
154.3484	19.4984	0.05	10
220.7067	53.0899	0.05	10
185.8213	48.2577	0.05	10
134.9124	25.5358	0.05	10
194.7463	24.7689	0.05	10
145.7998	43.4823	0.05	10
163.2173	52.1163	0.05	10
215.0180	39.3954	0.05	10
174.0004	17.7477	0.055	11
137.4353	14.0307	0.055	11
233.3531	38.3333	0.055	11
136.2088	8.8816	0.055	11
178.1844	33.3525	0.055	11
220.8466	15.7548	0.055	11
123.8550	26.1858	0.055	11
182.4471	24.7703	0.055	11
225.3419	56.0635	0.055	11
186.6634	28.1695	0.055	11
221.5034	7.3187	0.055	11
222.7911	2.5839	0.055	11
201.0004	6.3523	0.055	11
177.6642	28.2841	0.055	11
199.9209	56.1226	0.055	11
148.6586	54.5088	0.055	11
158.8711	15.3504	0.055	11
203.6323	26.7626	0.055	11
129.2745	31.0953	0.055	11
122.6364	19.5601	0.055	11
143.1215	36.0027	0.055	11
235.0851	13.5665	0.055	11
192.7908	14.0171	0.055	11
189.6965	34.0322	0.055	11
226.7385	14.0272	0.055	11
204.8885	41.9996	0.055	11
130.5773	14.3385	0.055	11
149.7788	32.6290	0.055	11
231.1607	32.7055	0.055	11
183.0265	39.5394	0.055	11
156.7297	7.1790	0.055	11
232.7615	5.6490	0.055	11
126.4486	47.4560	0.055	11
184.2451	17.7523	0.055	11
210.6792	31.7821	0.055	11
144.3517	5.9660	0.055	11
194.5923	23.6659	0.055	11
173.5311	5.9796	0.055	11
186.3717	55.5054	0.055	11
126.3733	7.5217	0.055	11
154.8561	44.9496	0.055	11
212.6135	12.9930	0.055	11
233.3470	24.1221	0.055	11
156.7358	27.7445	0.055	11
202.9318	16.7303	0.055	11
197.9787	36.4027	0.055	11
168.4353	12.5887	0.055	11
190.7208	47.8041	0.055	11
168.8482	23.6206	0.055	11
219.1513	24.7272	0.055	11
146.9390	17.3624	0.055	11
135.5884	26.3764	0.055	11
165.1742	51.3948	0.055	11
139.8067	44.9568	0.055	11
170.5815	39.2864	0.055	11
218.9850	46.0722	0.055	11
171.8615	18.8523	0.06	12
197.8333	28.6900	0.06	12
221.2256	14.0069	0.06	12
161.4497	12.0885	0.06	12
143.8156	4.6176	0.06	12
128.1643	55.8506	0.06	12
209.0759	7.2284	0.06	12
152.8288	52.0710	0.06	12
168.6684	36.6294	0.06	12
228.8849	41.0801	0.06	12
140.5174	8.0640	0.06	12
202.9918	55.2252	0.06	12
173.1699	39.3882	0.06	12
199.4453	3.0022	0.06	12
184.5830	35.8768	0.06	12
234.9565	41.9738	0.06	12
207.1720	12.7122	0.06	12
194.2407	9.8832	0.06	12
167.2959	20.5706	0.06	12
207.3938	33.7817	0.06	12
146.0702	52.4345	0.06	12
137.4705	26.3661	0.06	12
150.5071	4.3908	0.06	12
203.4731	28.3504	0.06	12
235.8906	33.8005	0.06	12
184.1838	23.3235	0.06	12
161.2131	18.5242	0.06	12
226.6252	15.5654	0.06	12
201.3725	8.4257	0.06	12
215.9009	10.7708	0.06	12
140.4576	36.0740	0.06	12
135.5608	3.6890	0.06	12
136.2629	56.0342	0.06	12
212.8940	3.4810	0.06	12
217.3790	26.7289	0.06	12
153.5671	17.0275	0.06	12
193.8658	23.7568	0.06	12
227.2349	6.5287	0.06	12
159.0555	6.5603	0.06	12
232.1249	24.3703	0.06	12
188.6171	15.7589	0.06	12
182.1472	42.6104	0.06	12
216.4988	19.3926	0.06	12
161.9723	28.9746	0.06	12
161.4163	40.6462	0.06	12
203.4570	19.3112	0.06	12
235.3633	12.9660	0.06	12
232.8324	52.4185	0.06	12
172.9457	13.4372	0.06	12
146.7149	44.5181	0.06	12
195.1443	49.8412	0.06	12
176.1446	29.0736	0.06	12
182.5527	5.8598	0.06	12
149.7438	29.9776	0.06	12
126.2978	26.5646	0.06	12
221.9582	34.1186	0.06	12
195.5049	37.1756	0.06	12
169.1713	50.1917	0.06	12
140.4798	16.3380	0.06	12
129.1485	44.5613	0.06	12
215.9796	48.1764	0.06	12
178.2581	19.5736	0.065	13
200.6890	37.4917	0.065	13
164.4454	14.4390	0.065	13
152.7102	42.7775	0.065	13
231.0358	24.8015	0.065	13
210.1671	25.5148	0.065	13
161.2417	11.0811	0.065	13
224.4828	22.6967	0.065	13
136.3513	9.1864	0.065	13
224.6791	16.3027	0.065	13
188.0446	12.5706	0.065	13
192.0508	57.0093	0.065	13
188.8901	2.7787	0.065	13
211.6025	4.9795	0.065	13
182.7433	42.5484	0.065	13
231.0476	48.0227	0.065	13
124.3807	21.6987	0.065	13
131.1196	14.6417	0.065	13
221.7888	55.1806	0.065	13
130.7057	6.5697	0.065	13
173.9793	11.8866	0.065	13
124.7896	45.9451	0.065	13
229.7549	3.1532	0.065	13
225.7860	8.8498	0.065	13
169.6997	32.9332	0.065	13
170.6741	17.8985	0.065	13
193.3795	8.7631	0.065	13
168.6192	23.8934	0.065	13
164.6947	39.6612	0.065	13
139.8229	3.1689	0.065	13
226.9594	29.2819	0.065	13
131.1894	21.8417	0.065	13
218.1812	7.3602	0.065	13
217.5111	26.5315	0.065	13
182.5456	16.1273	0.065	13
174.8882	39.1514	0.065	13
230.0920	53.5481	0.065	13
207.2664	42.3572	0.065	13
159.2627	20.1854	0.065	13
212.5558	52.8013	0.065	13
153.6592	14.7882	0.065	13
181.8707	6.8244	0.065	13
198.7033	52.9912	0.065	13
202.1639	5.5328	0.065	13
145.3955	44.8874	0.065	13
200.4304	13.8086	0.065	13
203.3323	20.8554	0.065	13
191.0019	23.3304	0.065	13
184.4954	52.7009	0.065	13
133.5480	38.6801	0.065	13
167.8172	5.6055	0.065	13
150.1480	6.9505	0.065	13
132.4830	48.8054	0.065	13
214.9309	16.2835	0.065	13
196.7612	45.9341	0.065	13
189.8365	35.9374	0.065	13
179.5586	27.6365	0.065	13
159.3114	48.1055	0.065	13
233.0989	15.8271	0.065	13
172.8122	49.9863	0.065	13
204.4053	31.4613	0.065	13
140.1526	20.5196	0.065	13
222.5710	40.1015	0.065	13
152.0888	31.0194	0.065	13
185.7033	10.4054	0.07	14
212.8877	22.3724	0.07	14
225.2628	2.3844	0.07	14
187.4916	12.8450	0.07	14
164.5125	20.4505	0.07	14
186.9163	2.1251	0.07	14
212.4731	18.7558	0.07	14
194.5362	19.9730	0.07	14
187.3429	6.8183	0.07	14
125.7939	13.3857	0.07	14
137.8482	2.8378	0.07	14
156.0201	4.8791	0.07	14
175.0992	6.4125	0.07	14
144.3771	20.4104	0.07	14
198.8964	22.7951	0.07	14
152.4670	27.9268	0.07	14
122.8714	33.6312	0.07	14
190.3044	21.8877	0.07	14
125.7241	21.7591	0.07	14
169.3832	15.6665	0.07	14
217.5377	25.3849	0.07	14
122.6930	9.4682	0.07	14
225.7948	15.3246	0.07	14
139.3752	43.2931	0.07	14
229.6224	9.8582	0.07	14
181.5060	25.0707	0.07	14
175.8471	22.8708	0.07	14
178.3610	17.1419	0.07	14
181.0670	11.9269	0.07	14
150.5625	4.3644	0.07	14
143.6401	15.1536	0.07	14
172.6555	11.4178	0.07	14
202.2470	17.4453	0.07	14
235.0266	12.1247	0.07	14
185.1959	18.8278	0.07	14
231.2507	3.9204	0.07	14
181.3638	5.5471	0.07	14
234.8761	30.2147	0.07	14
127.0649	4.2590	0.07	14
142.1506	6.1698	0.07	14
193.3150	5.6153	0.07	14
206.3133	11.8265	0.07	14
164.0486	13.4022	0.07	14
217.1054	54.7874	0.07	14
148.1581	10.8064	0.07	14
204.1575	39.6852	0.07	14
207.4857	46.2961	0.07	14
168.7862	23.1544	0.07	14
124.6730	27.9311	0.07	14
207.6524	23.5053	0.07	14
201.9389	4.8509	0.07	14
166.8323	4.1727	0.07	14
190.7044	37.5404	0.07	14
224.6734	30.3537	0.07	14
158.0149	10.3161	0.07	14
151.0839	20.4496	0.07	14
172.2266	30.1097	0.07	14
221.4455	20.6777	0.07	14
233.2557	37.6371	0.07	14
194.9593	13.2328	0.07	14
159.3775	24.2126	0.07	14
134.3187	20.5464	0.07	14
233.0976	21.5354	0.07	14
185.2694	47.0746	0.07	14
133.6139	10.0443	0.07	14
224.6715	51.9591	0.07	14
171.7973	48.7619	0.07	14
184.1080	55.2671	0.07	14
137.7161	29.7263	0.07	14
226.4345	43.3863	0.07	14
192.4142	29.6529	0.07	14
144.8208	51.3066	0.07	14
177.2393	37.6874	0.07	14
159.1214	47.9858	0.07	14
200.3993	50.6110	0.07	14
216.7071	8.3980	0.07	14
128.3881	42.3499	0.07	14
151.7311	36.1178	0.07	14
211.5264	34.5612	0.07	14
198.3556	26.1789	0.075	15
161.7745	29.2210	0.075	15
155.6130	26.7441	0.075	15
190.2269	8.6476	0.075	15
168.8151	33.4670	0.075	15
171.0618	10.8505	0.075	15
202.1056	28.7921	0.075	15
129.2592	14.8269	0.075	15
226.8788	23.6400	0.075	15
229.9689	10.8903	0.075	15
212.9481	6.6031	0.075	15
143.6676	50.7207	0.075	15
126.5635	6.0026	0.075	15
151.7555	55.1892	0.075	15
235.7950	31.0864	0.075	15
193.9721	14.3279	0.075	15
213.9072	22.6929	0.075	15
188.4186	21.3561	0.075	15
123.1624	14.9354	0.075	15
139.7781	43.6655	0.075	15
219.3439	52.1035	0.075	15
172.0311	5.0755	0.075	15
214.4250	15.6774	0.075	15
148.8094	30.5644	0.075	15
145.3696	10.9203	0.075	15
142.3691	3.7499	0.075	15
197.8966	20.3462	0.075	15
166.2197	15.5929	0.075	15
179.2421	26.8531	0.075	15
207.0994	11.0979	0.075	15
185.2054	14.5785	0.075	15
176.3914	35.6105	0.075	15
124.2607	24.1251	0.075	15
124.1409	32.9993	0.075	15
203.5138	35.2823	0.075	15
171.6676	51.8896	0.075	15
224.0297	17.0252	0.075	15
205.9896	21.3300	0.075	15
233.2152	37.9014	0.075	15
134.9018	10.2630	0.075	15
179.6442	9.4105	0.075	15
137.2395	33.6076	0.075	15
136.2723	56.3918	0.075	15
132.3588	23.6966	0.075	15
206.0246	51.2558	0.075	15
147.7371	39.0183	0.075	15
131.1638	50.6913	0.075	15
234.0775	21.5322	0.075	15
210.0959	44.2724	0.075	15
198.7225	6.3917	0.075	15
221.4130	7.3080	0.075	15
174.9243	43.8154	0.075	15
160.1592	36.2472	0.075	15
142.7758	21.7196	0.075	15
127.1980	41.7653	0.075	15
156.1218	17.6580	0.075	15
171.1912	23.2080	0.075	15
157.8734	48.2775	0.075	15
190.4218	34.9120	0.075	15
220.9461	36.7006	0.075	15
192.5947	33.7704	0.08	16
163.1946	34.4144	0.08	16
180.3820	3.9548	0.08	16
148.9877	8.7124	0.08	16
151.0827	28.1394	0.08	16
207.7027	3.2143	0.08	16
211.4648	20.7686	0.08	16
190.9426	4.1850	0.08	16
227.9500	30.1863	0.08	16
163.0362	41.4841	0.08	16
144.1761	4.1801	0.08	16
216.2898	3.6007	0.08	16
170.1495	54.9926	0.08	16
171.0092	9.3452	0.08	16
173.5550	3.9107	0.08	16
222.9085	50.6195	0.08	16
153.1880	4.6433	0.08	16
211.5951	26.9352	0.08	16
142.6197	10.3791	0.08	16
123.1076	28.3633	0.08	16
233.2320	18.5042	0.08	16
180.6805	40.7053	0.08	16
233.5943	37.0574	0.08	16
232.4314	25.5368	0.08	16
144.0909	45.7599	0.08	16
157.0405	12.0299	0.08	16
191.6747	13.3885	0.08	16
133.7779	12.1227	0.08	16
135.9941	31.8406	0.08	16
200.6439	47.5210	0.08	16
219.3136	29.3584	0.08	16
206.2415	54.7664	0.08	16
132.6086	4.9664	0.08	16
198.8584	35.5725	0.08	16
227.7312	55.9151	0.08	16
174.8665	27.3000	0.08	16
182.2994	9.1194	0.08	16
128.0599	35.4290	0.08	16
231.8450	8.4596	0.08	16
209.7325	35.5901	0.08	16
190.5550	51.4712	0.08	16
142.0526	52.8418	0.08	16
164.1055	8.6652	0.08	16
129.4737	49.8729	0.08	16
143.1093	17.7280	0.08	16
222.0351	37.5865	0.08	16
203.6398	18.5435	0.08	16
198.9308	7.6418	0.08	16
153.2996	20.9846	0.08	16
138.1286	40.4915	0.08	16
170.8653	36.0587	0.08	16
199.1973	25.7838	0.08	16
141.1619	26.7121	0.08	16
190.1002	43.4485	0.08	16
186.0464	32.3032	0.08	16
127.3173	18.6299	0.08	16
214.7196	10.5044	0.08	16
173.2009	47.4488	0.08	16
153.1678	36.5200	0.08	16
222.4854	17.9970	0.08	16
212.0276	46.1564	0.08	16
164.4461	23.9921	0.08	16
182.4150	19.6978	0.08	16
157.5637	50.9143	0.08	16
237.7841	13.4234	0.085	17
213.0911	2.3123	0.085	17
224.2364	5.9995	0.085	17
158.2396	7.2420	0.085	17
174.4999	21.1899	0.085	17
200.1235	12.9133	0.085	17
122.9936	10.0912	0.085	17
186.1513	3.5178	0.085	17
175.9259	3.1913	0.085	17
237.1885	30.3726	0.085	17
235.5075	5.6352	0.085	17
221.0602	2.7820	0.085	17
145.4946	11.6970	0.085	17
131.1516	30.8749	0.085	17
201.8017	29.8146	0.085	17
216.6437	33.1823	0.085	17
236.8326	20.8013	0.085	17
228.3893	51.8646	0.085	17
233.4728	25.3572	0.085	17
130.3324	20.7356	0.085	17
160.7236	12.1119	0.085	17
151.9284	10.3703	0.085	17
229.9356	6.5520	0.085	17
160.9915	20.5757	0.085	17
209.4591	29.8181	0.085	17
225.6529	27.2990	0.085	17
154.3409	41.7593	0.085	17
200.2964	5.5918	0.085	17
231.8678	14.1828	0.085	17
172.6601	45.0206	0.085	17
212.3175	38.0180	0.085	17
150.9949	4.2533	0.085	17
226.5149	37.8163	0.085	17
223.1912	12.9066	0.085	17
197.3467	24.5398	0.085	17
181.7673	48.1343	0.085	17
196.1914	16.9895	0.085	17
215.9497	8.7988	0.085	17
207.5258	6.5947	0.085	17
128.6273	36.8012	0.085	17
221.7582	42.1109	0.085	17
164.8040	42.0547	0.085	17
182.2488	8.1281	0.085	17
139.8907	8.3200	0.085	17
224.6817	20.1737	0.085	17
177.7480	54.8471	0.085	17
187.2949	22.8343	0.085	17
130.8626	13.9850	0.085	17
192.6512	7.4066	0.085	17
166.7519	4.8213	0.085	17
170.2255	12.3000	0.085	17
130.6354	5.3415	0.085	17
167.4186	52.5645	0.085	17
207.0945	54.4109	0.085	17
210.3109	15.7651	0.085	17
196.1396	49.9692	0.085	17
181.6002	16.8518	0.085	17
127.9850	49.1147	0.085	17
212.5587	24.5153	0.085	17
188.9694	41.8539	0.085	17
141.6566	31.0617	0.085	17
216.3516	49.2005	0.085	17
140.1441	20.8785	0.085	17
152.8651	21.1840	0.085	17
201.7889	38.8445	0.085	17
165.7182	28.4815	0.085	17
152.0961	52.0352	0.085	17
180.1107	32.7545	0.085	17
144.8573	40.9044	0.085	17
165.9610	2.2523	0.09	18
169.2164	36.5257	0.09	18
176.7990	9.7748	0.09	18
133.3774	2.8121	0.09	18
167.9902	19.5893	0.09	18
238.7537	24.1412	0.09	18
181.0771	29.6082	0.09	18
163.7674	11.7793	0.09	18
224.3820	46.4161	0.09	18
235.7560	19.6188	0.09	18
127.6221	3.5368	0.09	18
139.0739	3.9552	0.09	18
124.0450	36.6630	0.09	18
179.5742	24.6534	0.09	18
185.5716	38.0367	0.09	18
225.5843	31.8642	0.09	18
196.4015	3.6290	0.09	18
201.9659	2.9141	0.09	18
181.3968	2.7568	0.09	18
170.5991	3.7853	0.09	18
163.6096	6.2709	0.09	18
173.0031	22.8777	0.09	18
197.0368	49.6617	0.09	18
189.4674	4.6858	0.09	18
176.3487	51.9262	0.09	18
181.6300	7.4532	0.09	18
217.0185	10.5095	0.09	18
232.0432	13.7221	0.09	18
224.7012	26.1133	0.09	18
202.6391	16.5758	0.09	18
221.3116	6.3416	0.09	18
129.2694	9.3260	0.09	18
216.1147	17.6952	0.09	18
170.6117	10.0536	0.09	18
162.2563	17.6916	0.09	18
144.4813	16.0007	0.09	18
164.6141	41.1124	0.09	18
198.1829	26.0838	0.09	18
137.0330	10.7596	0.09	18
174.2097	31.3787	0.09	18
187.8037	31.6739	0.09	18
155.5000	4.9865	0.09	18
232.9939	26.0799	0.09	18
195.2465	10.7875	0.09	18
195.5159	37.0788	0.09	18
224.6491	16.3505	0.09	18
234.4676	6.1051	0.09	18
